source_figure,condition_family,c4f8_fraction,pulse_off_ms,trench_width_nm,depth_nm,pixel_y,axis_slope_nm_per_pixel,axis_intercept_nm,digitization_uncertainty_nm,published_errorbar_semantics,evidence_type,split,source_location
4b,gas_fraction_cw,0.2,0,60,295.8,383,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,calibration,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.2,0,80,571.8,334,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,calibration,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.2,0,100,645.1,321,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,calibration,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.2,0,150,777.5,297.5,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,calibration,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.2,0,180,828.2,288.5,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,calibration,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.2,0,200,859.2,283,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,calibration,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.4,0,60,493.0,348,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.4,0,80,684.5,314,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.4,0,100,735.2,305,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.4,0,150,909.9,274,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.4,0,180,977.5,262,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.4,0,200,994.4,259,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.8,0,60,493.0,348,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.8,0,80,785.9,296,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.8,0,100,870.4,281,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.8,0,150,1045.1,250,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.8,0,180,1107.0,239,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 4b
4b,gas_fraction_cw,0.8,0,200,1146.5,232,-5.63380282,2453.52112676,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 4b
7b,pulse_off_20pct,0.2,0,60,298.1,388,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,0,80,574.5,340,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,0,100,643.6,328,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,0,150,773.2,305.5,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,0,180,819.3,297.5,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,0,200,859.6,290.5,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,0.1,60,442.0,363,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,0.1,80,649.4,327,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,0.1,100,735.8,312,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,0.1,150,865.4,289.5,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,0.1,180,920.1,280,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,0.1,200,931.6,278,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,1,60,712.7,316,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,1,80,920.1,280,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,1,100,954.6,274,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,1,150,1058.3,256,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,1,180,1110.2,247,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
7b,pulse_off_20pct,0.2,1,200,1185.0,234,-5.75949744,2532.74625713,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 7b
9b,pulse_off_80pct,0.8,0,60,501.8,340,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0,80,798.3,288,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0,100,900.9,270,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0,150,1060.6,242,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0,180,1140.4,228,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0,200,1151.8,226,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0.1,60,501.8,340,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0.1,80,764.1,294,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0.1,100,866.7,276,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0.1,150,1049.2,244,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0.1,180,1106.2,234,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,0.1,200,1106.2,234,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,1,60,273.7,380,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,1,80,530.3,335,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,1,100,587.3,325,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,1,150,735.6,299,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,1,180,786.9,290,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
9b,pulse_off_80pct,0.8,1,200,878.1,274,-5.70204962,2440.4802849,35,not_specified,experiment_digitized,held_out_transfer,Jeon et al. 2022 Fig. 9b
