source_figure,species,radical_class,electron_density_m3,particle_density_cm3,bar_top_pixel_y,axis_transform,axis_slope_per_pixel,axis_intercept,digitization_uncertainty_log10,evidence_type,role,source_xml_sha256,source_image_sha256,source_location
Fig. 6,C4F7,heavy,1.1e15,1.0777556920301085e11,264,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,C4F7,heavy,1.9e15,1.5095996574802454e11,255,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,C4F7,heavy,3.1e15,1.9619273742801196e11,248,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,C3F6,heavy,1.1e15,5.597156879584095e11,220,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,C3F6,heavy,1.9e15,8.138963590755248e11,210,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,C3F6,heavy,3.1e15,1.0981215300196332e12,202,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,C2F4,heavy,1.1e15,3.505221340921042e12,171,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,C2F4,heavy,1.9e15,5.097028631688902e12,161,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,C2F4,heavy,3.1e15,6.876989701663860e12,153,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,CF3,light,1.1e15,1.4271563188004292e10,318,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,CF3,light,1.9e15,2.502499409882450e10,303,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,CF3,light,3.1e15,4.226844394472246e10,289,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,CF2,light,1.1e15,2.1544346900318867e10,307,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,CF2,light,1.9e15,3.638945990099404e10,293,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,CF2,light,3.1e15,6.146358476368803e10,279,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,CF,light,1.1e15,7.006940913385972e9,337,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,CF,light,1.9e15,1.018896525567091e10,327,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
Fig. 6,CF,light,3.1e15,1.4271563188004292e10,318,log10,-0.016260162601626018,15.325203252032521,0.05,source_plasma_model_digitized,nonexperimental_boundary_input,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,3e4ea56418343dbc13bf3109e778a852181f2a473d169d35ad5ccfef0baf6d53,Jeong et al. 2023 Fig. 6
