source_figure,control_mode,trench_width_nm,self_bias_magnitude_v,electron_density_m3,variation_percent,etch_depth_nm,etch_duration_s,marker_pixel_x,marker_pixel_y,x_axis_slope_percent_per_pixel,x_axis_intercept_percent,y_axis_slope_nm_per_pixel,y_axis_intercept_nm,digitization_uncertainty_nm,measurement_uncertainty_semantics,evidence_type,split,role,source_xml_sha256,source_image_sha256,source_location
Fig. 7a,ion_energy,200,450,2.0e15,-49.362963,711.000,1200,88.02,186.09,0.9876543209876543,-136.2962962962963,-6.976744186046512,2009.3023255813953,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7a
Fig. 7a,ion_energy,200,890,2.0e15,0.316049,1223.163,1200,138.32,112.68,0.9876543209876543,-136.2962962962963,-6.976744186046512,2009.3023255813953,35,not_reported,experiment_digitized,calibration,magnitude_calibration,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7a
Fig. 7a,ion_energy,200,1270,2.0e15,42.666667,1541.581,1200,181.20,67.04,0.9876543209876543,-136.2962962962963,-6.976744186046512,2009.3023255813953,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7a
Fig. 7a,ion_flux,200,740,1.1e15,-44.879012,781.953,1200,92.56,175.92,0.9876543209876543,-136.2962962962963,-6.976744186046512,2009.3023255813953,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7a
Fig. 7a,ion_flux,200,740,1.9e15,0.404938,1100.442,1200,138.41,130.27,0.9876543209876543,-136.2962962962963,-6.976744186046512,2009.3023255813953,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7a
Fig. 7a,ion_flux,200,740,3.1e15,60.948148,1233.419,1200,199.71,111.21,0.9876543209876543,-136.2962962962963,-6.976744186046512,2009.3023255813953,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7a
Fig. 7b,ion_energy,100,450,2.0e15,-49.908075,593.349,1200,331.28,160.43,0.9937888198757764,-379.1304347826087,-4.651162790697675,1339.5348837209303,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7b
Fig. 7b,ion_energy,100,890,2.0e15,-0.069565,849.674,1200,381.43,105.32,0.9937888198757764,-379.1304347826087,-4.651162790697675,1339.5348837209303,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7b
Fig. 7b,ion_energy,100,1270,2.0e15,43.368944,1037.302,1200,425.14,64.98,0.9937888198757764,-379.1304347826087,-4.651162790697675,1339.5348837209303,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7b
Fig. 7b,ion_flux,100,740,1.1e15,-44.988820,632.279,1200,336.23,152.06,0.9937888198757764,-379.1304347826087,-4.651162790697675,1339.5348837209303,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7b
Fig. 7b,ion_flux,100,740,1.9e15,-0.099379,819.442,1200,381.40,111.82,0.9937888198757764,-379.1304347826087,-4.651162790697675,1339.5348837209303,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7b
Fig. 7b,ion_flux,100,740,3.1e15,61.008696,933.023,1200,442.89,87.40,0.9937888198757764,-379.1304347826087,-4.651162790697675,1339.5348837209303,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7b
Fig. 7c,ion_energy,60,450,2.0e15,-49.866667,292.233,1200,571.51,175.56,0.9876543209876543,-614.3209876543209,-3.488372093023256,904.6511627906976,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7c
Fig. 7c,ion_energy,60,890,2.0e15,-0.562963,491.907,1200,621.43,118.32,0.9876543209876543,-614.3209876543209,-3.488372093023256,904.6511627906976,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7c
Fig. 7c,ion_energy,60,1270,2.0e15,43.061728,500.419,1200,665.60,115.88,0.9876543209876543,-614.3209876543209,-3.488372093023256,904.6511627906976,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7c
Fig. 7c,ion_flux,60,740,1.1e15,-45.224691,379.233,1200,576.21,150.62,0.9876543209876543,-614.3209876543209,-3.488372093023256,904.6511627906976,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7c
Fig. 7c,ion_flux,60,740,1.9e15,0.059259,519.674,1200,622.06,110.36,0.9876543209876543,-614.3209876543209,-3.488372093023256,904.6511627906976,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7c
Fig. 7c,ion_flux,60,740,3.1e15,60.553086,549.256,1200,683.31,101.88,0.9876543209876543,-614.3209876543209,-3.488372093023256,904.6511627906976,35,not_reported,experiment_digitized,held_out_transfer,held_out_prediction,249045f4e77a47fd4e01fe77e7beb05b413d3468051f780600d4a8dbef86507c,9c8acd0e9a7219ea5f99e097f7977fcb3ed490635fca3a0f9f69cb0a15a6508c,Jeong et al. 2023 Fig. 7c
