level,radius_v,active_threshold,directions,replicates,complete_direction_set,frozen_directional_condition,ensemble_directional_condition,ensemble_condition_stderr,ensemble_condition_ci_low,ensemble_condition_ci_high,no_switch_directional_condition,no_switch_condition_stderr,signed_log_condition_change,signed_log_condition_change_stderr,switch_component_energy_fraction,switch_component_energy_stderr,switch_signed_projection_fraction,switch_signed_projection_stderr,sigma_max,sigma_min,direction_names
9,0.1,1e-05,5,8,True,52.95071252661372,27.53665556705236,26.638795911279114,11.519593474638464,101.28279766963527,45.34301059864987,38.87035148811676,-0.4987379965531923,0.3319230580635543,0.06558824788813593,0.038379077181714835,0.16213546895700995,0.03553774267553919,61.32154906690058,2.2269062020833017,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.1,0.0001,5,8,True,52.95071252661372,27.53665556705236,26.638795911279114,11.519593474638464,101.28279766963527,45.34301059864987,38.87035148811676,-0.4987379965531923,0.3319230580635543,0.06558824788813593,0.038379077181714835,0.16213546895700995,0.03553774267553919,61.32154906690058,2.2269062020833017,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.1,0.001,5,8,True,52.95071252661372,27.53665556705236,26.638795911279114,11.519593474638464,101.28279766963527,45.34301059864987,38.87035148811676,-0.4987379965531923,0.3319230580635543,0.06558824788813593,0.038379077181714835,0.16213546895700995,0.03553774267553919,61.32154906690058,2.2269062020833017,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.05,1e-05,5,8,True,186.8286867714144,39.589512340385625,57.98197794799624,22.691572196657983,214.3769365231953,77.56302088337046,104.60348805668946,-0.6725265353072628,0.39306819688485845,0.04479483003834911,0.034198213381207154,0.13406820048863927,0.03293151866480656,114.9096298004553,2.902527033232358,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.05,0.0001,5,8,True,186.8286867714144,39.589512340385625,57.98197794799624,22.691572196657983,214.3769365231953,77.56302088337046,104.60348805668946,-0.6725265353072628,0.39306819688485845,0.04479483003834911,0.034198213381207154,0.13406820048863927,0.03293151866480656,114.9096298004553,2.902527033232358,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.05,0.001,5,8,True,186.8286867714144,39.589512340385625,57.98197794799624,22.691572196657983,214.3769365231953,77.56302088337046,104.60348805668946,-0.6725265353072628,0.39306819688485845,0.04479483003834911,0.034198213381207154,0.13406820048863927,0.03293151866480656,114.9096298004553,2.902527033232358,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.025,1e-05,5,8,True,44.64061687044585,49.21107874156788,55.95992074314352,19.176822156685404,231.88410981410306,99.57200016911732,92.84331569200276,-0.7047622264443848,0.2632045481143576,0.040247019128053785,0.04557871734622394,0.13201577988180427,0.04407444970359089,168.26646451001812,3.419280146116486,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.025,0.0001,5,8,True,44.64061687044585,49.21107874156788,55.95992074314352,19.176822156685404,231.88410981410306,99.57200016911732,92.84331569200276,-0.7047622264443848,0.2632045481143576,0.040247019128053785,0.04557871734622394,0.13201577988180427,0.04407444970359089,168.26646451001812,3.419280146116486,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
9,0.025,0.001,5,8,True,44.64061687044585,49.21107874156788,55.95992074314352,19.176822156685404,231.88410981410306,99.57200016911732,92.84331569200276,-0.7047622264443848,0.2632045481143576,0.040247019128053785,0.04557871734622394,0.13201577988180427,0.04407444970359089,168.26646451001812,3.419280146116486,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
11,0.1,1e-05,5,8,True,18.23557862296147,16.049426316050457,3.7140156382811274,8.733082837986965,23.36212120011952,25.856317479151485,4.772907007607141,-0.4768818556162864,0.2677345097648104,0.5809193390578544,0.044468015754728946,0.5990833278654084,0.046972735806951355,10.441996363005648,0.6506149289936289,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
11,0.1,0.0001,5,8,True,18.23557862296147,16.049426316050457,3.7140156382811274,8.733082837986965,23.36212120011952,25.856317479151485,4.772907007607141,-0.4768818556162864,0.2677345097648104,0.5809193390578544,0.044468015754728946,0.5990833278654084,0.046972735806951355,10.441996363005648,0.6506149289936289,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
11,0.1,0.001,5,8,True,18.23557862296147,16.049426316050457,3.7140156382811274,8.733082837986965,23.36212120011952,25.856317479151485,4.772907007607141,-0.4768818556162864,0.2677345097648104,0.5809193390578544,0.044468015754728946,0.5990833278654084,0.046972735806951355,10.441996363005648,0.6506149289936289,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
11,0.05,1e-05,5,8,True,20.157775215922157,22.48279062698827,5.027863112596797,13.854640760620725,32.21811078930879,33.45314652416525,7.269944301815266,-0.39739569311029493,0.33305979899309346,0.49649038172051235,0.07615440518827932,0.4937184019480362,0.10805905988757017,11.431896110625571,0.5084731829020709,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
11,0.05,0.0001,5,8,True,20.157775215922157,22.48279062698827,5.027863112596797,13.854640760620725,32.21811078930879,33.45314652416525,7.269944301815266,-0.39739569311029493,0.33305979899309346,0.49649038172051235,0.07615440518827932,0.4937184019480362,0.10805905988757017,11.431896110625571,0.5084731829020709,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
11,0.05,0.001,5,8,True,20.157775215922157,22.48279062698827,5.027863112596797,13.854640760620725,32.21811078930879,33.45314652416525,7.269944301815266,-0.39739569311029493,0.33305979899309346,0.49649038172051235,0.07615440518827932,0.4937184019480362,0.10805905988757017,11.431896110625571,0.5084731829020709,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
11,0.025,1e-05,5,8,True,6.500709916810753,8.037355726689292,4.925270463327957,4.831220315719599,23.065858181648494,43.81912190230118,12.227114760102731,-1.6959701558444569,0.37129772738411626,0.5235680498797345,0.10525012720377114,0.5577244648575638,0.1841631911022739,12.68595593569949,1.5783743269659942,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
11,0.025,0.0001,5,8,True,6.500709916810753,8.037355726689292,4.925270463327957,4.831220315719599,23.065858181648494,43.81912190230118,12.227114760102731,-1.6959701558444569,0.37129772738411626,0.5235680498797345,0.10525012720377114,0.5577244648575638,0.1841631911022739,12.68595593569949,1.5783743269659942,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
11,0.025,0.001,5,8,True,6.500709916810753,8.037355726689292,4.925270463327957,4.831220315719599,23.065858181648494,43.81912190230118,12.227114760102731,-1.6959701558444569,0.37129772738411626,0.5235680498797345,0.10525012720377114,0.5577244648575638,0.1841631911022739,12.68595593569949,1.5783743269659942,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
13,0.1,1e-05,5,8,True,9.975833548070817,22.012896552858773,4.485529851572996,9.490243710387993,26.54831800409244,12.688451285874184,6.926553280341015,0.5509362563660056,0.31568614329664024,0.5725680536558561,0.05656784684053625,0.6234446630975958,0.09078331783008681,7.953693344152122,0.36131970752023507,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
13,0.1,0.0001,5,8,True,9.975833548070817,22.012896552858773,4.485529851572996,9.490243710387993,26.54831800409244,12.688451285874184,6.926553280341015,0.5509362563660056,0.31568614329664024,0.5725680536558561,0.05656784684053625,0.6234446630975958,0.09078331783008681,7.953693344152122,0.36131970752023507,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
13,0.1,0.001,5,8,True,9.975833548070817,22.012896552858773,4.485529851572996,9.490243710387993,26.54831800409244,12.688451285874184,6.926553280341015,0.5509362563660056,0.31568614329664024,0.5725680536558561,0.05656784684053625,0.6234446630975958,0.09078331783008681,7.953693344152122,0.36131970752023507,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
13,0.05,1e-05,5,8,True,8.66052408565588,17.097362439960584,4.943328083209187,7.62492471027388,26.609746653811428,13.270945672274484,6.88123179298262,0.25334709860554794,0.37311794133992954,0.5021463432611029,0.08078005874012363,0.5053025805773469,0.15452905432671712,8.277486786546305,0.48413822983595756,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
13,0.05,0.0001,5,8,True,8.66052408565588,17.097362439960584,4.943328083209187,7.62492471027388,26.609746653811428,13.270945672274484,6.88123179298262,0.25334709860554794,0.37311794133992954,0.5021463432611029,0.08078005874012363,0.5053025805773469,0.15452905432671712,8.277486786546305,0.48413822983595756,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
13,0.05,0.001,5,8,True,8.66052408565588,17.097362439960584,4.943328083209187,7.62492471027388,26.609746653811428,13.270945672274484,6.88123179298262,0.25334709860554794,0.37311794133992954,0.5021463432611029,0.08078005874012363,0.5053025805773469,0.15452905432671712,8.277486786546305,0.48413822983595756,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
13,0.025,1e-05,5,8,True,7.08957491788926,12.491801748340299,2.9422783286696506,7.864663159109574,19.264772173222298,21.810211204825553,11.239612995434875,-0.5573056950141293,0.3508511679393495,0.461291567862463,0.06562661858914424,0.33674378661356463,0.2063372954029942,8.418540334046417,0.6739252274128456,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
13,0.025,0.0001,5,8,True,7.08957491788926,12.491801748340299,2.9422783286696506,7.864663159109574,19.264772173222298,21.810211204825553,11.239612995434875,-0.5573056950141293,0.3508511679393495,0.461291567862463,0.06562661858914424,0.33674378661356463,0.2063372954029942,8.418540334046417,0.6739252274128456,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
13,0.025,0.001,5,8,True,7.08957491788926,12.491801748340299,2.9422783286696506,7.864663159109574,19.264772173222298,21.810211204825553,11.239612995434875,-0.5573056950141293,0.3508511679393495,0.461291567862463,0.06562661858914424,0.33674378661356463,0.2063372954029942,8.418540334046417,0.6739252274128456,worst_coordinate_0_dof_40;worst_coordinate_1_dof_18;dominant_0;dominant_1;dominant_2
