step,physical_time_s,seed,rms_relative_current_imbalance_node,max_relative_current_imbalance_node,rms_relative_current_imbalance_face,max_relative_current_imbalance_face,minimum_potential_v,maximum_potential_v,total_stored_charge_c
0,0.0,1009,0.22135269307887767,0.5690894419914412,0.46966207737591725,0.9068493459344978,-13.582190812969035,43.418030146236255,-8.401294239065389e-17
1,1.25e-07,105738,0.24094726561722174,0.5759620394824163,0.4687594755529155,0.8691316293732725,-13.329960764822811,43.777144154704246,-8.220167569177691e-17
2,2.5e-07,210467,0.22690040889919802,0.6129227058838596,0.4924940663535871,0.8756396460231769,-13.007613360714632,44.282099917457955,-7.99463567931959e-17
3,3.75e-07,315196,0.23778753726071045,0.5628866039996584,0.49391477201591694,0.9910470537013617,-13.012587586631208,44.368423466519125,-8.02130476524286e-17
4,5e-07,419925,0.20383650190979313,0.6126938147680465,0.4646573943788443,0.8765595623731309,-12.885080167158451,44.61452975901597,-7.95159059832626e-17
5,6.249999999999999e-07,524654,0.20872077768183944,0.4900804176605707,0.45308956829900704,0.9127628825304331,-13.08920139710491,44.45764108748163,-8.119519906778229e-17
6,7.5e-07,629383,0.22808463094044704,0.6417305784007148,0.45443373891603944,0.8766520294314439,-12.806566322502114,44.8999953218599,-7.931670985969606e-17
7,8.75e-07,734112,0.21376195150861363,0.5128393451206766,0.45222863787352613,0.9108593145032016,-13.066889922146862,44.65466398468361,-8.144444977902561e-17
8,1e-06,838841,0.176057186073894,0.5990969066802065,0.44688683985651884,0.8767498698187901,-12.80343581138904,45.082643372172754,-7.965473172512524e-17
9,1.125e-06,943570,0.1691158528632988,0.4569899994017355,0.4112800391605595,0.8676545930785792,-12.882960953589512,45.09164175632059,-8.041707479916177e-17
10,1.2499999999999999e-06,1048299,0.18902744909009345,0.5494486789912105,0.44865067263130815,0.9072464311010596,-12.869678302167712,45.19270683406078,-8.051305319884348e-17
11,1.375e-06,1153028,0.17370151981157214,0.4792439876297733,0.4339274439887131,0.9508561872770456,-13.009903796324394,45.118520434265875,-8.165753147699024e-17
12,1.5e-06,1257757,0.2450525152910838,0.6356023620748952,0.46211019694819394,0.9073264068649823,-13.170587565808425,44.97735766260479,-8.292538677484836e-17
13,1.625e-06,1362486,0.23030245116066123,0.5940883204238042,0.4795673741180931,0.9563734742736566,-12.768207191739018,45.56450697176397,-8.005030385309354e-17
14,1.75e-06,1467215,0.15647268464875488,0.5912393510904619,0.4194306075309356,0.9521617213926883,-13.200368238073779,45.07115817593103,-8.333945414393701e-17
15,1.8749999999999998e-06,1571944,0.22805333059680374,0.6274603418377553,0.4681730807114798,0.9526063719865424,-13.196961688899142,45.11188572339219,-8.330610899383931e-17
16,2e-06,1676673,0.1958337691006362,0.5236826360489685,0.42420342403750344,0.9299182524353433,-12.982642991331513,45.418758028754205,-8.178755011442433e-17
17,2.125e-06,1781402,0.22195513063016806,0.5862790802792125,0.4444958973441476,0.8515476184073706,-13.271180439225974,45.101453875165454,-8.394895427992819e-17
18,2.25e-06,1886131,0.213409259372058,0.5971974631301935,0.4310002364070627,0.8586220109019159,-13.0473248100554,45.41458251430791,-8.232598436696937e-17
19,2.3749999999999997e-06,1990860,0.20645254490388262,0.5598630955446988,0.43330316147028736,0.8992283052709704,-13.142655056629263,45.32059141451107,-8.306784651167107e-17
20,2.4999999999999998e-06,2095589,0.27320484625992175,0.7192797461557898,0.510139168773652,0.8624796770823328,-12.87325135911108,45.71630940231502,-8.113696898386181e-17
21,2.625e-06,2200318,0.15799119461542022,0.3234389496593768,0.4036382432622342,0.829837984403657,-12.738214209669097,45.96537284264341,-8.02898068627964e-17
22,2.75e-06,2305047,0.26136183331628726,0.6891403452822484,0.5051641927447412,0.8690898934793652,-12.751732288672573,46.006633757301095,-8.058943337379369e-17
23,2.875e-06,2409776,0.2733936923801358,0.6395191115101257,0.47638477864085677,0.8729716736585496,-12.556659938542285,46.31688212231088,-7.936857729911492e-17
24,3e-06,2514505,0.2225015961666573,0.5516306190914021,0.44774517319443713,0.876874181983537,-12.288702250662702,46.76598531283859,-7.767666259949901e-17
25,3.1249999999999997e-06,2619234,0.19688925156923687,0.5978135500468547,0.46516238580451874,0.8330346622553125,-12.490052665707653,46.608971336915545,-7.944788219420601e-17
26,3.25e-06,2723963,0.23059234556664387,0.6450245456746772,0.4775963561792368,0.8260111655381911,-12.686983294221998,46.40335483724251,-8.109870747250322e-17
27,3.375e-06,2828692,0.2524160703021027,0.6595415986350943,0.49049038573949133,0.814166746575109,-12.993636372417908,46.05854393258883,-8.345001024336156e-17
28,3.5e-06,2933421,0.197275956414133,0.5508240871327864,0.44677251446942295,0.8275406652833834,-12.728252248223148,46.41888107744162,-8.153499518799316e-17
29,3.625e-06,3038150,0.22086556996047385,0.6644397960019754,0.48408724943472914,0.824411383592957,-12.8308974445902,46.33235248934123,-8.233036307353826e-17
30,3.7499999999999997e-06,3142879,0.26454033113898423,0.621480985552719,0.49147945724162645,0.9101110941642028,-12.72864545315045,46.51513207783286,-8.162701750069477e-17
31,3.875e-06,3247608,0.25430477318287636,0.6387327958446677,0.4833666625508219,0.853168215281113,-13.292952927998918,45.80135361825606,-8.577371368021122e-17
32,4e-06,3352337,0.22235786810335093,0.5700303500031938,0.4411118331606158,0.8215577983262097,-12.916861385407314,46.294927654680905,-8.293711656640502e-17
33,4.1249999999999995e-06,3457066,0.18992435231065904,0.5829977078610771,0.42851177324241735,0.8632862044404407,-12.907612172127887,46.3257658790521,-8.291085605288508e-17
34,4.25e-06,3561795,0.21144832247166265,0.6460708908571988,0.450319312714235,0.8329618768064604,-12.661010003840909,46.67205407985448,-8.117074440792228e-17
35,4.375e-06,3666524,0.2531262440063344,0.642760730083434,0.4845397561955713,0.829678374147638,-12.687494460911417,46.67294053855579,-8.147996777109369e-17
36,4.5e-06,3771253,0.18700746275976263,0.5521879799085699,0.43358617760197665,0.8602499705953941,-13.007818348671172,46.27996555770827,-8.388244660090433e-17
37,4.625e-06,3875982,0.20055520255784073,0.5407235927233665,0.44463488125739525,0.9005683782370663,-12.809023904309969,46.553107745021784,-8.241909815528133e-17
38,4.749999999999999e-06,3980711,0.20920259817428843,0.65117989938867,0.4658961080211503,0.8613459338944014,-12.576548601722669,46.883742170903005,-8.081529012275451e-17
39,4.875e-06,4085440,0.20402190950893603,0.5294716275037121,0.4398324607103649,0.8535655302391829,-12.7803607168805,46.6540134320917,-8.24446450696772e-17
40,4.9999999999999996e-06,4190169,0.20537372246925853,0.5389888436317655,0.4325927182571561,0.9004225210047753,-12.707518676825863,46.76724409672593,-8.200558556019369e-17
41,5.125e-06,4294898,0.20139150501917108,0.5586808639221111,0.46260258226631285,0.9027894154881508,-12.62027690634373,46.9329749172743,-8.144629733380175e-17
42,5.25e-06,4399627,0.21793646190080182,0.5680658626707576,0.4499912780172051,0.9509508522159343,-12.462397261674544,47.187126980322766,-8.041214729769973e-17
43,5.374999999999999e-06,4504356,0.2814599098110443,0.6665798166734733,0.4832646807488094,0.8564962561418952,-12.610691883394189,47.052248546677475,-8.162424532129727e-17
44,5.5e-06,4609085,0.18499909066423845,0.5271746088395054,0.4270133352804671,0.8290330277943184,-12.160626131004591,47.69136598710971,-7.848753264520485e-17
45,5.6249999999999995e-06,4713814,0.13803156267450484,0.37281617854631205,0.4484870002933762,0.7906298346662717,-12.501777682519547,47.35137370742981,-8.11674411670202e-17
46,5.75e-06,4818543,0.15347410573666548,0.4364804367242623,0.403648892834215,0.8262268514993346,-12.528091645253369,47.36948030847373,-8.145226962795973e-17
47,5.875e-06,4923272,0.2162573433515849,0.674076358423701,0.4449318582345512,0.9099038386885526,-12.463191142269393,47.47417350474642,-8.108507882068532e-17
48,6e-06,5028001,0.181740225633262,0.593606596718569,0.4318879041426484,0.951939355795882,-12.683693052287518,47.217297850029695,-8.278528832813359e-17
49,6.125e-06,5132730,0.2282295394422919,0.6380143857619918,0.47480117785124265,1.0,-12.971713491260708,46.86291842688821,-8.483269970364406e-17
50,6.2499999999999995e-06,5237459,0.23338648484855898,0.6398607921344667,0.4785491919163667,0.9053773448056327,-12.74002024095544,47.16892002834148,-8.307814952279437e-17
51,6.375e-06,5342188,0.24019936230899253,0.6026599768175149,0.4766907381438696,0.9129772575953534,-12.347871301709972,47.68918399351652,-8.030713774032923e-17
52,6.5e-06,5446917,0.22701206867117815,0.5534284331720315,0.47529318128519676,0.8644913264647979,-12.19210991705467,47.94066692604021,-7.935548993047958e-17
53,6.625e-06,5551646,0.26323344716407077,0.6565426109912332,0.48226695689697097,0.9014423814814608,-12.469294227533048,47.64413187520407,-8.157000270482452e-17
54,6.75e-06,5656375,0.24392626364119294,0.5855383684041799,0.4855407424437286,0.9090655916573058,-12.065612968763112,48.21693770230597,-7.873437594265185e-17
55,6.874999999999999e-06,5761104,0.1675548358201294,0.5245895029143786,0.4484067048699748,0.8697387965038327,-11.950837140927284,48.447312383653006,-7.814870007797327e-17
56,7e-06,5865833,0.23983683662693783,0.6574710941609376,0.47856327953674677,0.778793839576238,-12.242419388752877,48.152891142421154,-8.052394651929276e-17
57,7.1249999999999995e-06,5970562,0.22538035925438749,0.5658420240935621,0.45900087160362707,0.8300264225154453,-12.190661548075562,48.229573779585834,-8.032679411054593e-17
58,7.25e-06,6075291,0.2672588040827105,0.6704899160202618,0.5001920712867636,0.9377764347674072,-12.404914029299626,48.000059837881764,-8.200518109278898e-17
59,7.375e-06,6180020,0.22666161793637601,0.5978232885817374,0.4429625163932226,0.7589710298057047,-12.120440320595796,48.39233800752483,-8.001232457382133e-17
60,7.499999999999999e-06,6284749,0.1992645084766503,0.5641709535117493,0.41678142935870566,0.8162347009863914,-12.568237028289158,47.8689044218791,-8.335366176361563e-17
61,7.625e-06,6389478,0.20989953328853703,0.6258993842379532,0.4211770515175481,0.8109296406136228,-12.460280620983408,48.039101098998835,-8.251936314746449e-17
62,7.75e-06,6494207,0.15860257872888586,0.40741250939137086,0.3920337097909696,0.8016744891882748,-12.75383374341257,47.67825697492394,-8.45960542138977e-17
63,7.875e-06,6598936,0.20973388586476052,0.6673240364249396,0.44087144070598083,0.8201734071441237,-12.431265441732165,48.07990186260542,-8.221228594395146e-17
64,8e-06,6703665,0.21891136682387088,0.5984885857742188,0.4453189019044749,0.8063977372599019,-12.584775123170973,47.90094186127066,-8.334753576535175e-17
65,8.125e-06,6808394,0.14767003296523737,0.42293985276991536,0.3854726759886247,0.7661818459301339,-12.478926375312644,48.03958443481232,-8.256686472567478e-17
66,8.249999999999999e-06,6913123,0.18442166546010805,0.515595920174499,0.4449424688403636,0.8928238288157924,-12.651566837290321,47.830442137296345,-8.382934313025366e-17
67,8.375e-06,7017852,0.1933270080819134,0.5907479482432318,0.4329554329723566,0.8471373857349574,-12.5672367357973,47.9704778921128,-8.314225737113995e-17
68,8.5e-06,7122581,0.21678055250310987,0.5965448958554608,0.46552204892043614,0.852488020148349,-12.387196414251093,48.227630406628364,-8.183341293529046e-17
69,8.625e-06,7227310,0.17711680943122537,0.5598223296795826,0.4237578644125609,0.8566925121779165,-12.63129932467091,47.9175016507826,-8.368036193023885e-17
70,8.75e-06,7332039,0.21553105820752877,0.5616900979333785,0.4461406849171562,0.8582884408737507,-12.633452103292536,47.92931695313004,-8.364669594674568e-17
71,8.874999999999999e-06,7436768,0.21905780876773812,0.6188991730615766,0.4733635566107777,0.9081637332813824,-12.369698017589416,48.28584348091131,-8.171316422637463e-17
72,9e-06,7541497,0.20544078934977347,0.5214268755551752,0.4281742263698212,0.8590821462041898,-12.611987670036653,47.99185993126478,-8.351669947827173e-17
73,9.125e-06,7646226,0.218067465736154,0.669056263466214,0.4632675856244724,0.8444468051940504,-12.294342110843207,48.400684027267644,-8.120767200248274e-17
74,9.25e-06,7750955,0.18142674281333537,0.5186307286361975,0.43914298587558265,0.8197869034166699,-12.435698494312788,48.216117917047384,-8.233914822479663e-17
75,9.375e-06,7855684,0.2389714906261475,0.6239279913782566,0.479692732534594,0.8902390164357786,-12.284770835446443,48.43760352955214,-8.130337688272776e-17
76,9.499999999999999e-06,7960413,0.21226421845711535,0.4424766127950072,0.4111137322332775,0.861889550927272,-12.367739822393434,48.37027659972549,-8.196088440755067e-17
77,9.625e-06,8065142,0.260798772508828,0.6451501388559443,0.5003629146341341,0.8747431348210786,-11.929138756509094,48.9757335063441,-7.885218683456478e-17
78,9.75e-06,8169871,0.2131214333898105,0.5634106366131565,0.4361748215987657,0.8389480516296937,-11.78707610459168,49.22932250108437,-7.802725806747641e-17
79,9.875e-06,8274600,0.16797510690626652,0.47362580939643756,0.39105449332744985,0.8216841621462063,-12.264016032088001,48.68531703076111,-8.168989191219767e-17
80,9.999999999999999e-06,8379329,0.27203555040870314,0.5812354633799894,0.4707327786413183,0.8892829112784049,-12.384264471967489,48.54791619980181,-8.260186511519632e-17
81,1.0124999999999999e-05,8484058,0.21092828346421919,0.65266322055558,0.4391997905831584,0.8761576647562394,-11.818211913903948,49.31336950335836,-7.853515793768488e-17
82,1.025e-05,8588787,0.24467986280612594,0.5872054254315767,0.44855338134049044,0.8275419964811038,-12.031194916207443,49.12747611438729,-8.028974934881073e-17
83,1.0375e-05,8693516,0.20801768070857965,0.5330203696136281,0.4281734537884317,0.7737320513428706,-12.484247783510494,48.592535839624865,-8.365174036754585e-17
84,1.05e-05,8798245,0.21817371410207792,0.5960601246740149,0.45821381082794377,0.8069244912182599,-12.20120334477167,48.96171696418552,-8.155873724081415e-17
85,1.0624999999999999e-05,8902974,0.1781003082150252,0.42803010851654333,0.4035849994589043,0.81187105604556,-12.17445402377453,49.0261463546143,-8.145923203185999e-17
86,1.0749999999999999e-05,9007703,0.23732973868040758,0.7008334152225077,0.4986652590272248,0.8747381851699995,-12.412507184187625,48.71852519617963,-8.326505698320515e-17
87,1.0875e-05,9112432,0.18263283317722367,0.5335880223175841,0.4395633862115979,0.8442438556300559,-12.36171804856504,48.762392185768775,-8.28835512126414e-17
88,1.1e-05,9217161,0.1914773469700549,0.5446186856037368,0.4309483275740171,0.899699422955217,-12.297235981242189,48.85636225659555,-8.24162363936603e-17
89,1.1125e-05,9321890,0.18903413650721,0.5277608399519134,0.4273126934063412,0.8545419213047488,-12.219182156497023,48.97167311913632,-8.186597130094621e-17
90,1.1249999999999999e-05,9426619,0.25027832407251294,0.6598392794459282,0.49241061088723204,0.9516893281142468,-12.015375020167895,49.26145923858198,-8.043608099504078e-17
91,1.1374999999999999e-05,9531348,0.1456341076589563,0.4489473397111746,0.43774497638859505,0.9517395950737991,-11.813109672095875,49.570990126421925,-7.909468239233122e-17
92,1.15e-05,9636077,0.13569405552090072,0.46564153966870825,0.4498491056880538,0.8582928883038101,-12.079116707780349,49.29854678273442,-8.117602369408958e-17
93,1.1625e-05,9740806,0.20153534110488974,0.4788543450661426,0.4473260878677622,0.863424146032213,-12.126291294616083,49.274501588634074,-8.1578897689922e-17
94,1.175e-05,9845535,0.23545947635282427,0.5763868517543931,0.491159301178953,0.9099847786101837,-11.941776975948127,49.5374061457939,-8.032523590388475e-17
95,1.1874999999999999e-05,9950264,0.1796567977578663,0.44628025868741233,0.4608489969434164,0.90738023572111,-11.797500619072673,49.77584004510729,-7.941605961170701e-17
96,1.2e-05,10054993,0.2290383232881114,0.6640296108502717,0.5047824343575005,0.8509416345031872,-12.094602796963311,49.42856031829152,-8.173792293170336e-17
97,1.2125e-05,10159722,0.1526163313803138,0.43970443613506277,0.43820904350922224,0.7963083653454168,-12.316907073340413,49.18816426883487,-8.332241875173374e-17
98,1.225e-05,10264451,0.19121810329253217,0.6096245434909595,0.47049165073311705,0.8477133470066529,-12.298905358728367,49.24454999961944,-8.308743532217744e-17
99,1.2375e-05,10369180,0.18657346462420207,0.5039115139794019,0.4608235478401538,0.8540330957446429,-12.11001803825528,49.50965225532917,-8.167773395902744e-17
